From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Azerbaijan,Malta,7,9,7,8,9,8,8,6,5
Azerbaijan,Denmark,17,16,18,17,17,17,16,19,"
"
Azerbaijan,The Netherlands,18,19,19,18,20,19,13,17,"
"
Azerbaijan,San Marino,13,14,13,12,13,13,10,8,3
Azerbaijan,United Kingdom,16,17,16,16,15,16,14,14,"
"
Belarus,Ukraine,4,1,5,4,5,4,3,3,8
Belarus,Azerbaijan,3,4,4,3,2,3,19,8,3
Belarus,Iceland,20,14,16,18,17,17,17,17,"
"
Belarus,Norway,7,12,12,13,9,11,9,7,4
Belarus,Romania,11,10,8,9,12,10,14,10,1
Belarus,Armenia,6,5,6,5,4,5,2,2,10
Belarus,Montenegro,18,23,21,19,23,21,23,25,"
"
Belarus,Poland,5,9,2,10,13,8,5,4,7
Belarus,Greece,8,6,7,8,6,6,8,5,6
Belarus,Austria,24,25,20,23,22,23,4,14,"
"
Belarus,Germany,14,13,10,12,8,12,15,15,"
"
Belarus,Sweden,23,20,18,22,20,20,6,12,"
"
Belarus,France,16,19,17,17,18,18,22,24,"
"
Belarus,Russia,1,2,3,1,1,1,1,1,12
Belarus,Italy,13,16,15,14,11,14,25,22,"
"
Belarus,Slovenia,22,24,23,25,24,25,12,21,"
"
Belarus,Finland,17,17,22,21,19,19,13,16,"
"
Belarus,Spain,15,18,19,15,16,16,20,20,"
"
Belarus,Switzerland,19,15,14,16,14,15,10,11,"
"
Belarus,Hungary,10,8,11,7,10,9,7,6,5
Belarus,Malta,2,3,1,2,3,2,24,13,"
"
Belarus,Denmark,12,11,13,11,15,13,21,18,"
"
Belarus,The Netherlands,9,7,9,6,7,7,16,9,2
Belarus,San Marino,25,21,24,20,25,24,11,19,"
"
Belarus,United Kingdom,21,22,25,24,21,22,18,23,"
"
Belgium,Ukraine,1,11,7,5,6,5,13,7,4
Belgium,Belarus,19,17,26,9,17,17,23,22,"
"
Belgium,Azerbaijan,18,16,22,11,8,16,26,24,"
"
Belgium,Iceland,26,12,6,6,5,11,16,13,"
"
Belgium,Norway,16,18,20,17,20,18,10,14,"
"
Belgium,Romania,8,7,17,18,16,13,5,6,5
Belgium,Armenia,21,26,25,24,19,25,1,11,"
"
Belgium,Montenegro,20,19,18,15,22,19,24,25,"
"
Belgium,Poland,25,25,24,25,26,26,4,16,"
"
Belgium,Greece,24,20,15,22,25,23,7,17,"
"
Belgium,Austria,7,6,1,7,1,3,3,1,12
Belgium,Germany,17,15,13,19,10,15,20,19,"
"
Belgium,Sweden,3,2,10,2,2,1,6,2,10
Belgium,France,23,24,23,20,9,21,21,23,"
"
Belgium,Russia,9,14,14,12,15,12,15,12,"
"
Belgium,Italy,22,21,19,21,21,22,18,21,"
"
Belgium,Slovenia,14,13,12,10,18,14,25,20,"
"
Belgium,Finland,5,8,8,3,3,4,14,8,3
Belgium,Spain,13,3,9,14,12,10,9,9,2
Belgium,Switzerland,11,23,16,23,23,20,12,18,"
"
Belgium,Hungary,2,9,3,1,7,2,8,4,7
Belgium,Malta,12,5,2,16,11,9,19,15,"
"
Belgium,Denmark,6,10,4,8,4,6,11,5,6
Belgium,The Netherlands,10,4,5,13,13,8,2,3,8
Belgium,San Marino,15,22,21,26,24,24,22,26,"
"
Belgium,United Kingdom,4,1,11,4,14,7,17,10,1
Denmark,Ukraine,14,12,4,17,7,9,15,10,1
Denmark,Belarus,20,21,18,24,12,21,17,21,"
"
Denmark,Azerbaijan,8,8,17,6,19,10,24,19,"
"
Denmark,Iceland,10,10,24,11,4,11,4,6,5
Denmark,Norway,2,6,9,12,9,6,7,5,6
Denmark,Romania,17,19,14,8,15,14,19,18,"
"
Denmark,Armenia,13,5,7,4,20,8,14,9,2
Denmark,Montenegro,25,17,19,19,14,20,23,23,"
"
Denmark,Poland,15,7,22,15,25,18,10,15,"
"
Denmark,Greece,11,23,16,9,22,16,11,13,"
"
Denmark,Austria,4,1,2,2,2,2,3,3,8
Denmark,Germany,22,16,8,10,11,13,13,12,"
"
Denmark,Sweden,1,2,1,1,1,1,2,1,12
Denmark,France,9,22,12,18,21,17,18,20,"
"
Denmark,Russia,6,3,5,7,6,4,21,11,"
"
Denmark,Italy,21,25,25,22,18,25,25,25,"
"
Denmark,Slovenia,16,24,15,23,23,23,20,22,"
"
Denmark,Finland,7,13,6,16,5,7,8,7,4
Denmark,Spain,18,18,20,13,17,19,12,16,"
"
Denmark,Switzerland,23,15,21,25,16,22,6,14,"
"
Denmark,Hungary,12,20,10,14,8,12,9,8,3
Denmark,Malta,19,14,11,20,13,15,16,17,"
"
Denmark,The Netherlands,3,4,3,3,10,3,1,2,10
Denmark,San Marino,24,9,23,21,24,24,22,24,"
"
Denmark,United Kingdom,5,11,13,5,3,5,5,4,7
Estonia,Ukraine,3,4,12,3,12,4,5,3,8
Estonia,Belarus,23,25,26,23,20,25,10,19,"
"
Estonia,Azerbaijan,8,5,11,11,4,6,25,15,"
"
Estonia,Iceland,19,20,19,24,15,23,13,20,"
"
Estonia,Norway,6,6,4,15,5,5,11,8,3
Estonia,Romania,5,9,21,4,18,11,22,17,"
"
Estonia,Armenia,11,7,7,12,8,7,7,6,5
Estonia,Montenegro,21,8,10,14,17,13,26,22,"
"
Estonia,Poland,25,26,23,25,23,26,17,25,"
"
Estonia,Greece,24,19,6,21,24,22,18,23,"
"
Estonia,Austria,10,11,15,9,2,8,8,7,4
Estonia,Germany,14,23,24,8,7,15,19,18,"
"
Estonia,Sweden,2,1,2,1,1,1,3,2,10
Estonia,France,16,24,13,22,14,19,20,21,"
"
Estonia,Russia,26,14,25,26,25,24,2,10,1
Estonia,Italy,12,18,20,16,22,18,24,24,"
"
Estonia,Slovenia,22,16,18,13,21,21,23,26,"
"
Estonia,Finland,7,13,5,19,11,9,4,5,6
Estonia,Spain,18,10,9,10,9,10,14,9,2
Estonia,Switzerland,20,15,22,7,19,17,12,12,"
"
Estonia,Hungary,4,3,1,5,3,3,6,4,7
Estonia,Malta,13,17,17,6,13,12,21,16,"
"
Estonia,Denmark,15,22,8,18,10,14,16,13,"
"
Estonia,The Netherlands,1,2,3,2,6,2,1,1,12
Estonia,San Marino,17,12,14,20,26,20,9,11,"
"
Estonia,United Kingdom,9,21,16,17,16,16,15,14,"
"
F.Y.R. Macedonia,Ukraine,17,19,18,21,7,18,12,15,"
"
F.Y.R. Macedonia,Belarus,21,20,6,16,9,13,11,12,"
"
F.Y.R. Macedonia,Azerbaijan,12,22,17,9,17,16,26,23,"
"
F.Y.R. Macedonia,Iceland,22,5,24,22,22,22,21,24,"
"
F.Y.R. Macedonia,Norway,16,16,20,14,21,19,18,21,"
"
F.Y.R. Macedonia,Romania,3,4,5,15,5,3,14,7,4
F.Y.R. Macedonia,Armenia,9,7,12,2,23,10,2,3,8
F.Y.R. Macedonia,Montenegro,5,18,1,5,2,2,1,1,12
F.Y.R. Macedonia,Poland,14,26,9,17,4,12,3,6,5
F.Y.R. Macedonia,Greece,20,21,25,6,24,24,17,22,"
"
F.Y.R. Macedonia,Austria,18,25,16,4,11,14,5,8,3
F.Y.R. Macedonia,Germany,19,6,23,23,10,17,19,20,"
"
F.Y.R. Macedonia,Sweden,23,13,22,12,19,21,7,13,"
"
F.Y.R. Macedonia,France,24,15,26,13,18,23,25,26,"
"
F.Y.R. Macedonia,Russia,8,3,11,11,8,5,9,5,6
F.Y.R. Macedonia,Italy,4,9,13,10,3,4,16,9,2
F.Y.R. Macedonia,Slovenia,10,8,14,24,20,15,6,10,1
F.Y.R. Macedonia,Finland,15,1,10,25,12,11,20,16,"
"
F.Y.R. Macedonia,Spain,13,14,2,18,6,9,13,11,"
"
F.Y.R. Macedonia,Switzerland,26,24,7,26,26,26,4,14,"
"
F.Y.R. Macedonia,Hungary,1,2,4,1,1,1,10,2,10
F.Y.R. Macedonia,Malta,6,17,3,8,13,7,24,18,"
"
F.Y.R. Macedonia,Denmark,7,12,15,3,14,8,23,17,"
"
F.Y.R. Macedonia,The Netherlands,2,10,8,7,15,6,8,4,7
F.Y.R. Macedonia,San Marino,25,11,21,20,25,25,22,25,"
"
F.Y.R. Macedonia,United Kingdom,11,23,19,19,16,20,15,19,"
"
Finland,Ukraine,20,12,20,22,14,18,7,9,2
Finland,Belarus,12,18,23,16,19,19,15,19,"
"
Finland,Azerbaijan,10,2,11,11,13,8,24,16,"
"
Finland,Iceland,19,10,7,6,18,14,12,12,"
"
Finland,Norway,2,6,12,12,10,6,4,4,7
Finland,Romania,13,14,19,23,7,16,21,21,"
"
Finland,Armenia,9,20,16,5,5,12,6,7,4
Finland,Montenegro,21,21,21,25,25,25,25,25,"
"
Finland,Poland,25,25,24,17,20,24,11,20,"
"
Finland,Greece,23,17,25,15,17,21,13,18,"
"
Finland,Austria,1,1,1,1,1,1,1,1,12
Finland,Germany,8,11,9,19,23,15,23,22,"
"
Finland,Sweden,4,9,3,7,3,2,2,2,10
Finland,France,7,7,13,13,12,11,14,10,1
Finland,Russia,24,24,15,20,22,22,8,15,"
"
Finland,Italy,6,3,10,21,16,13,20,17,"
"
Finland,Slovenia,18,22,22,18,15,20,19,23,"
"
Finland,Spain,17,19,2,9,2,9,16,11,"
"
Finland,Switzerland,15,15,14,14,21,17,10,13,"
"
Finland,Hungary,14,13,4,10,8,10,5,6,5
Finland,Malta,3,5,6,8,9,3,17,8,3
Finland,Denmark,11,4,18,2,6,5,9,5,6
Finland,The Netherlands,5,8,8,3,11,4,3,3,8
Finland,San Marino,22,23,17,24,24,23,18,24,"
"
Finland,United Kingdom,16,16,5,4,4,7,22,14,"
"
France,Ukraine,22,22,23,22,19,24,8,19,"
"
France,Belarus,14,23,18,23,20,20,24,25,"
"
France,Azerbaijan,24,6,8,5,14,9,22,18,"
"
France,Iceland,6,5,4,7,2,3,13,4,7
France,Norway,9,7,7,6,21,8,14,9,2
France,Romania,19,19,24,25,16,22,4,13,"
"
France,Armenia,5,4,2,1,7,1,1,1,12
France,Montenegro,13,13,13,15,5,11,21,20,"
"
France,Poland,23,15,11,12,6,15,3,6,5
France,Greece,10,25,20,20,8,19,12,17,"
"
France,Austria,2,3,1,2,17,4,2,2,10
France,Germany,21,24,21,17,23,23,19,22,"
"
France,Sweden,4,14,12,14,18,13,6,7,4
France,Russia,25,11,25,24,24,25,15,21,"
"
France,Italy,18,9,15,9,13,14,10,10,1
France,Slovenia,20,21,16,13,12,18,25,23,"
"
France,Finland,7,12,10,10,10,7,18,12,"
"
France,Spain,17,16,9,8,9,10,7,5,6
France,Switzerland,12,17,19,16,11,16,9,11,"
"
France,Hungary,8,20,17,19,15,17,11,15,"
"
France,Malta,11,8,6,4,3,6,20,14,"
"
France,Denmark,1,1,3,3,22,5,16,8,3
France,The Netherlands,3,2,5,11,1,2,5,3,8
France,San Marino,15,18,22,21,25,21,23,24,"
"
France,United Kingdom,16,10,14,18,4,12,17,16,"
"
Georgia,Ukraine,1,1,1,1,1,"
",5,5,6
Georgia,Belarus,4,4,4,4,4,"
",11,11,"
"
Georgia,Azerbaijan,2,2,2,2,2,"
",4,4,7
Georgia,Iceland,19,20,24,24,20,"
",19,19,"
"
Georgia,Norway,16,15,25,23,12,"
",20,20,"
"
Georgia,Romania,9,11,9,14,10,"
",15,15,"
"
Georgia,Armenia,3,3,3,3,3,"
",1,1,12
Georgia,Montenegro,5,5,5,5,5,"
",25,25,"
"
Georgia,Poland,13,12,11,11,21,"
",12,12,"
"
Georgia,Greece,15,13,20,16,23,"
",7,7,4
Georgia,Austria,8,8,8,8,8,"
",2,2,10
Georgia,Germany,18,14,21,12,16,"
",6,6,5
Georgia,Sweden,11,9,14,15,9,"
",9,9,2
Georgia,France,26,16,22,25,19,"
",17,17,"
"
Georgia,Russia,20,17,17,17,22,"
",3,3,8
Georgia,Italy,7,7,7,7,7,"
",18,18,"
"
Georgia,Slovenia,17,18,23,18,26,"
",26,26,"
"
Georgia,Finland,10,19,10,9,24,"
",21,21,"
"
Georgia,Spain,12,10,13,20,11,"
",16,16,"
"
Georgia,Switzerland,21,25,12,26,25,"
",10,10,1
Georgia,Hungary,25,26,19,19,14,"
",23,23,"
"
Georgia,Malta,14,22,16,22,13,"
",22,22,"
"
Georgia,Denmark,22,21,26,13,15,"
",24,24,"
"
Georgia,The Netherlands,24,23,15,10,17,"
",13,13,"
"
Georgia,San Marino,23,24,18,21,18,"
",14,14,"
"
Georgia,United Kingdom,6,6,6,6,6,"
",8,8,3
Germany,Ukraine,20,20,18,14,16,18,14,16,"
"
Germany,Belarus,24,23,19,20,25,23,21,22,"
"
Germany,Azerbaijan,10,17,9,15,4,9,25,20,"
"
Germany,Iceland,19,9,15,16,18,14,8,9,2
Germany,Norway,4,6,6,3,10,5,9,6,5
Germany,Romania,12,14,16,21,22,16,17,18,"
"
Germany,Armenia,5,7,8,4,9,6,6,5,6
Germany,Montenegro,23,22,21,22,24,24,24,25,"
"
Germany,Poland,6,4,4,5,3,4,3,2,10
Germany,Greece,16,21,20,24,19,22,4,14,"
"
Germany,Austria,9,13,11,13,12,11,1,4,7
Germany,Sweden,11,8,5,6,6,7,16,11,"
"
Germany,France,21,10,17,25,20,20,20,21,"
"
Germany,Russia,17,16,23,12,21,19,5,12,"
"
Germany,Italy,22,18,10,17,11,15,18,19,"
"
Germany,Slovenia,15,24,22,23,14,21,23,23,"
"
Germany,Finland,3,2,3,7,5,3,12,7,4
Germany,Spain,7,19,14,10,8,10,13,10,1
Germany,Switzerland,18,5,12,11,13,12,7,8,3
Germany,Hungary,14,12,24,19,17,17,15,17,"
"
Germany,Malta,13,11,13,9,15,13,11,13,"
"
Germany,Denmark,1,1,1,1,1,1,10,3,8
Germany,The Netherlands,2,3,2,2,2,2,2,1,12
Germany,San Marino,25,25,25,18,23,25,22,24,"
"
Germany,United Kingdom,8,15,7,8,7,8,19,15,"
"
Greece,Ukraine,16,3,5,4,5,5,10,6,5
Greece,Belarus,7,16,8,10,8,10,12,11,"
"
Greece,Azerbaijan,13,9,6,6,9,6,25,17,"
"
Greece,Iceland,4,10,7,14,22,11,20,15,"
"
Greece,Norway,9,6,3,2,1,4,14,8,3
Greece,Romania,21,14,18,24,13,18,9,13,"
"
Greece,Armenia,17,13,15,8,6,12,1,4,7
Greece,Montenegro,14,23,24,13,24,21,21,24,"
"
Greece,Poland,25,15,23,15,7,17,5,10,1
Greece,Austria,1,2,4,5,3,1,2,1,12
Greece,Germany,11,19,20,12,18,16,24,22,"
"
Greece,Sweden,19,8,16,17,10,14,6,9,2
Greece,France,22,17,19,16,19,20,19,21,"
"
Greece,Russia,10,5,2,1,2,3,3,2,10
Greece,Italy,23,25,22,22,21,25,17,23,"
"
Greece,Slovenia,20,24,17,23,15,22,23,25,"
"
Greece,Finland,2,7,9,11,16,7,16,12,"
"
Greece,Spain,24,20,21,18,23,23,11,18,"
"
Greece,Switzerland,6,12,13,19,14,13,4,7,4
Greece,Hungary,5,1,11,20,11,8,7,5,6
Greece,Malta,8,11,10,7,12,9,22,16,"
"
Greece,Denmark,15,22,12,25,17,19,18,19,"
"
Greece,The Netherlands,3,4,1,3,4,2,8,3,8
Greece,San Marino,18,21,25,21,25,24,15,20,"
"
Greece,United Kingdom,12,18,14,9,20,15,13,14,"
"
Hungary,Ukraine,17,8,8,17,7,10,12,9,2
Hungary,Belarus,18,19,12,20,9,18,11,15,"
"
Hungary,Azerbaijan,2,6,10,5,1,2,25,12,"
"
Hungary,Iceland,13,20,1,18,8,11,8,6,5
Hungary,Norway,12,24,24,11,12,21,9,18,"
"
Hungary,Romania,19,7,21,12,19,17,15,21,"
"
Hungary,Armenia,5,12,15,3,17,9,5,4,7
Hungary,Montenegro,20,3,4,6,10,5,24,17,"
"
Hungary,Poland,9,13,22,8,22,15,7,8,3
Hungary,Greece,25,14,25,25,25,25,18,23,"
"
Hungary,Austria,8,9,5,16,11,8,2,2,10
Hungary,Germany,16,15,20,15,15,19,10,14,"
"
Hungary,Sweden,11,10,7,4,13,6,6,3,8
Hungary,France,22,21,23,24,23,24,22,25,"
"
Hungary,Russia,15,16,11,21,14,16,13,16,"
"
Hungary,Italy,14,22,14,23,18,22,23,24,"
"
Hungary,Slovenia,21,11,13,10,6,13,17,19,"
"
Hungary,Finland,1,23,6,9,24,14,1,5,6
Hungary,Spain,7,4,9,14,4,4,20,11,"
"
Hungary,Switzerland,4,17,19,22,20,20,4,10,1
Hungary,Malta,3,5,18,13,21,12,19,20,"
"
Hungary,Denmark,23,25,16,19,16,23,14,22,"
"
Hungary,The Netherlands,6,1,3,1,5,1,3,1,12
Hungary,San Marino,24,2,2,7,3,3,16,7,4
Hungary,United Kingdom,10,18,17,2,2,7,21,13,"
"
Iceland,Ukraine,21,12,18,8,7,12,15,11,"
"
Iceland,Belarus,12,19,19,21,20,19,17,22,"
"
Iceland,Azerbaijan,3,7,6,7,5,6,25,15,"
"
Iceland,Norway,15,17,12,13,22,16,9,10,1
Iceland,Romania,7,10,20,19,17,14,16,14,"
"
Iceland,Armenia,17,14,24,18,18,18,7,9,2
Iceland,Montenegro,8,16,15,20,19,15,23,24,"
"
Iceland,Poland,24,24,23,15,16,23,2,8,3
Iceland,Greece,13,23,21,25,14,21,11,16,"
"
Iceland,Austria,2,2,1,5,4,2,3,2,10
Iceland,Germany,16,20,17,16,15,17,13,13,"
"
Iceland,Sweden,4,4,4,3,2,4,4,4,7
Iceland,France,23,25,25,22,25,25,10,20,"
"
Iceland,Russia,22,11,11,11,13,13,19,17,"
"
Iceland,Italy,20,21,13,24,24,22,24,25,"
"
Iceland,Slovenia,10,8,9,14,12,10,22,19,"
"
Iceland,Finland,9,13,7,12,11,7,8,6,5
Iceland,Spain,18,15,22,17,21,20,18,23,"
"
Iceland,Switzerland,25,22,16,23,23,24,12,21,"
"
Iceland,Hungary,5,5,5,4,9,5,6,5,6
Iceland,Malta,14,6,14,10,8,8,20,12,"
"
Iceland,Denmark,1,1,2,1,1,1,5,3,8
Iceland,The Netherlands,6,3,3,2,3,3,1,1,12
Iceland,San Marino,19,9,10,9,6,11,21,18,"
"
Iceland,United Kingdom,11,18,8,6,10,9,14,7,4
Ireland,Ukraine,19,11,19,23,22,24,15,21,"
"
Ireland,Belarus,24,6,23,11,7,13,16,16,"
"
Ireland,Azerbaijan,11,8,20,12,21,14,26,22,"
"
Ireland,Iceland,20,9,14,26,24,23,14,19,"
"
Ireland,Norway,5,2,4,4,1,2,11,4,7
Ireland,Romania,8,25,24,1,23,18,5,9,2
Ireland,Armenia,9,5,5,3,8,4,19,11,"
"
Ireland,Montenegro,23,24,21,13,12,22,25,26,"
"
Ireland,Poland,26,26,22,22,26,26,1,15,"
"
Ireland,Greece,7,23,6,7,9,7,17,12,"
"
Ireland,Austria,3,3,1,2,3,1,3,1,12
Ireland,Germany,18,18,12,14,13,16,20,18,"
"
Ireland,Sweden,1,12,8,25,20,10,6,7,4
Ireland,France,25,19,25,17,11,25,21,25,"
"
Ireland,Russia,6,20,17,24,19,20,18,20,"
"
Ireland,Italy,21,14,13,21,14,19,24,24,"
"
Ireland,Slovenia,12,7,18,19,15,12,23,17,"
"
Ireland,Finland,22,21,10,6,16,15,10,13,"
"
Ireland,Spain,2,22,11,5,6,6,8,5,6
Ireland,Switzerland,14,15,9,16,4,8,7,6,5
Ireland,Hungary,17,4,15,9,25,11,12,10,1
Ireland,Malta,13,16,2,8,5,5,13,8,3
Ireland,Denmark,15,17,16,18,10,17,9,14,"
"
Ireland,The Netherlands,4,1,3,10,2,3,2,2,10
Ireland,San Marino,16,10,26,20,17,21,22,23,"
"
Ireland,United Kingdom,10,13,7,15,18,9,4,3,8
Israel,Ukraine,5,8,10,16,10,7,5,6,5
Israel,Belarus,13,23,11,20,11,17,7,10,1
Israel,Azerbaijan,7,16,13,14,14,10,16,11,"
"
Israel,Iceland,23,18,25,19,21,24,26,26,"
"
Israel,Norway,22,9,23,15,15,20,20,22,"
"
Israel,Romania,6,10,4,21,4,6,4,3,8
Israel,Armenia,14,11,15,18,7,11,1,5,6
Israel,Montenegro,9,13,14,9,17,9,25,19,"
"
Israel,Poland,19,5,20,11,26,18,12,15,"
"
Israel,Greece,17,6,8,5,8,5,14,9,2
Israel,Austria,2,2,3,1,1,1,2,1,12
Israel,Germany,24,26,12,25,22,25,24,25,"
"
Israel,Sweden,1,4,1,2,3,2,6,2,10
Israel,France,25,7,24,24,24,21,19,21,"
"
Israel,Russia,8,24,2,23,9,14,3,8,3
Israel,Italy,12,20,16,12,12,16,22,20,"
"
Israel,Slovenia,11,19,9,13,13,12,21,18,"
"
Israel,Finland,10,12,22,4,6,8,18,12,"
"
Israel,Spain,3,14,5,3,2,4,11,7,4
Israel,Switzerland,21,21,17,22,23,22,9,17,"
"
Israel,Hungary,4,1,6,7,5,3,8,4,7
Israel,Malta,20,22,26,17,20,23,23,24,"
"
Israel,Denmark,16,15,7,8,19,13,17,16,"
"
Israel,The Netherlands,18,17,21,10,16,19,10,14,"
"
Israel,San Marino,26,25,19,26,18,26,15,23,"
"
Israel,United Kingdom,15,3,18,6,25,15,13,13,"
"
Italy,Ukraine,8,6,5,5,3,4,4,2,10
Italy,Belarus,13,21,15,13,19,19,20,23,"
"
Italy,Azerbaijan,14,20,16,12,17,18,25,24,"
"
Italy,Iceland,4,2,2,4,2,2,10,4,7
Italy,Norway,20,12,10,16,14,12,19,16,"
"
Italy,Romania,22,25,8,14,4,13,1,6,5
Italy,Armenia,19,19,24,24,18,24,7,14,"
"
Italy,Montenegro,11,10,18,10,25,14,21,20,"
"
Italy,Poland,9,4,21,9,1,6,3,3,8
Italy,Greece,18,13,14,7,13,11,8,8,3
Italy,Austria,2,3,3,3,6,3,2,1,12
Italy,Germany,17,16,12,6,12,10,22,17,"
"
Italy,Sweden,12,14,9,23,20,17,13,12,"
"
Italy,France,25,15,23,15,24,23,24,25,"
"
Italy,Russia,10,17,20,18,23,20,11,15,"
"
Italy,Slovenia,7,7,4,19,9,7,18,11,"
"
Italy,Finland,1,1,1,2,5,1,12,5,6
