Year,From,To,Score
2009,Latvia,Armenia,0
2009,Latvia,Russia,6
2009,Latvia,Azerbaijan,4
2009,Latvia,Bosnia-Herzegovina,0
2009,Latvia,Moldova,0
2009,Latvia,Malta,1
2009,Latvia,Estonia,10
2009,Latvia,Denmark,3
2009,Latvia,Germany,0
2009,Latvia,Turkey,0
2009,Latvia,Albania,0
2009,Latvia,Norway,12
2009,Latvia,Ukraine,0
2009,Latvia,Romania,0
2009,Latvia,United Kingdom,2
2009,Latvia,Finland,0
2009,Latvia,Spain,0
2009,Lithuania,Israel,0
2009,Lithuania,France,6
2009,Lithuania,Sweden,0
2009,Lithuania,Croatia,0
2009,Lithuania,Portugal,0
2009,Lithuania,Iceland,8
2009,Lithuania,Greece,0
2009,Lithuania,Armenia,0
2009,Lithuania,Russia,7
2009,Lithuania,Azerbaijan,5
2009,Lithuania,Bosnia-Herzegovina,0
2009,Lithuania,Moldova,0
2009,Lithuania,Malta,1
2009,Lithuania,Estonia,10
2009,Lithuania,Denmark,2
2009,Lithuania,Germany,0
2009,Lithuania,Turkey,0
2009,Lithuania,Albania,0
2009,Lithuania,Norway,12
2009,Lithuania,Ukraine,4
2009,Lithuania,Romania,0
2009,Lithuania,United Kingdom,3
2009,Lithuania,Finland,0
2009,Lithuania,Spain,0
2009,Macedonia,Lithuania,0
2009,Macedonia,Israel,0
2009,Macedonia,France,0
2009,Macedonia,Sweden,0
2009,Macedonia,Croatia,4
2009,Macedonia,Portugal,0
2009,Macedonia,Iceland,2
2009,Macedonia,Greece,0
2009,Macedonia,Armenia,1
2009,Macedonia,Russia,0
2009,Macedonia,Azerbaijan,3
2009,Macedonia,Bosnia-Herzegovina,10
2009,Macedonia,Moldova,0
2009,Macedonia,Malta,0
2009,Macedonia,Estonia,0
2009,Macedonia,Denmark,0
2009,Macedonia,Germany,0
2009,Macedonia,Turkey,12
2009,Macedonia,Albania,7
2009,Macedonia,Norway,8
2009,Macedonia,Ukraine,0
2009,Macedonia,Romania,5
2009,Macedonia,United Kingdom,6
2009,Macedonia,Finland,0
2009,Macedonia,Spain,0
2009,Malta,Lithuania,0
2009,Malta,Israel,0
2009,Malta,France,0
2009,Malta,Sweden,4
2009,Malta,Croatia,0
2009,Malta,Portugal,0
2009,Malta,Iceland,12
2009,Malta,Greece,7
2009,Malta,Armenia,0
2009,Malta,Russia,0
2009,Malta,Azerbaijan,1
2009,Malta,Bosnia-Herzegovina,0
2009,Malta,Moldova,0
2009,Malta,Estonia,0
2009,Malta,Denmark,6
2009,Malta,Germany,0
2009,Malta,Turkey,5
2009,Malta,Albania,0
2009,Malta,Norway,8
2009,Malta,Ukraine,2
2009,Malta,Romania,0
2009,Malta,United Kingdom,10
2009,Malta,Finland,3
2009,Malta,Spain,0
2009,Moldova,Lithuania,0
2009,Moldova,Israel,0
2009,Moldova,France,0
2009,Moldova,Sweden,0
2009,Moldova,Croatia,2
2009,Moldova,Portugal,0
2009,Moldova,Iceland,3
2009,Moldova,Greece,0
2009,Moldova,Armenia,0
2009,Moldova,Russia,6
2009,Moldova,Azerbaijan,10
2009,Moldova,Bosnia-Herzegovina,0
2009,Moldova,Malta,0
2009,Moldova,Estonia,7
2009,Moldova,Denmark,5
2009,Moldova,Germany,0
2009,Moldova,Turkey,0
2009,Moldova,Albania,0
2009,Moldova,Norway,8
2009,Moldova,Ukraine,4
2009,Moldova,Romania,12
2009,Moldova,United Kingdom,1
2009,Moldova,Finland,0
2009,Moldova,Spain,0
2009,Montenegro,Lithuania,0
2009,Montenegro,Israel,4
2009,Montenegro,France,1
2009,Montenegro,Sweden,0
2009,Montenegro,Croatia,8
2009,Montenegro,Portugal,0
2009,Montenegro,Iceland,5
2009,Montenegro,Greece,2
2009,Montenegro,Armenia,0
2009,Montenegro,Russia,0
2009,Montenegro,Azerbaijan,6
2009,Montenegro,Bosnia-Herzegovina,12
2009,Montenegro,Moldova,0
2009,Montenegro,Malta,0
2009,Montenegro,Estonia,0
2009,Montenegro,Denmark,0
2009,Montenegro,Germany,0
2009,Montenegro,Turkey,3
2009,Montenegro,Albania,7
2009,Montenegro,Norway,10
2009,Montenegro,Ukraine,0
2009,Montenegro,Romania,0
2009,Montenegro,United Kingdom,0
2009,Montenegro,Finland,0
2009,Montenegro,Spain,0
2009,Netherlands,Lithuania,0
2009,Netherlands,Israel,0
2009,Netherlands,France,6
2009,Netherlands,Sweden,0
2009,Netherlands,Croatia,0
2009,Netherlands,Portugal,0
2009,Netherlands,Iceland,7
2009,Netherlands,Greece,1
2009,Netherlands,Armenia,5
2009,Netherlands,Russia,0
2009,Netherlands,Azerbaijan,10
2009,Netherlands,Bosnia-Herzegovina,4
2009,Netherlands,Moldova,0
2009,Netherlands,Malta,0
2009,Netherlands,Estonia,0
2009,Netherlands,Denmark,0
2009,Netherlands,Germany,2
2009,Netherlands,Turkey,8
2009,Netherlands,Albania,0
2009,Netherlands,Norway,12
2009,Netherlands,Ukraine,0
2009,Netherlands,Romania,0
2009,Netherlands,United Kingdom,3
2009,Netherlands,Finland,0
2009,Netherlands,Spain,0
2009,Norway,Lithuania,0
2009,Norway,Israel,0
2009,Norway,France,1
2009,Norway,Sweden,4
2009,Norway,Croatia,0
2009,Norway,Portugal,0
2009,Norway,Iceland,12
2009,Norway,Greece,0
2009,Norway,Armenia,0
2009,Norway,Russia,0
2009,Norway,Azerbaijan,10
2009,Norway,Bosnia-Herzegovina,0
2009,Norway,Moldova,3
2009,Norway,Malta,0
2009,Norway,Estonia,0
2009,Norway,Denmark,8
2009,Norway,Germany,6
2009,Norway,Turkey,7
2009,Norway,Albania,0
2009,Norway,Ukraine,5
2009,Norway,Romania,0
2009,Norway,United Kingdom,2
2009,Norway,Finland,0
2009,Norway,Spain,0
2009,Poland,Lithuania,0
2009,Poland,Israel,0
2009,Poland,France,0
2009,Poland,Sweden,0
2009,Poland,Croatia,0
2009,Poland,Portugal,0
2009,Poland,Iceland,1
2009,Poland,Greece,0
2009,Poland,Armenia,2
2009,Poland,Russia,3
2009,Poland,Azerbaijan,6
2009,Poland,Bosnia-Herzegovina,0
2009,Poland,Moldova,5
2009,Poland,Malta,0
2009,Poland,Estonia,8
2009,Poland,Denmark,7
2009,Poland,Germany,0
2009,Poland,Turkey,0
2009,Poland,Albania,0
2009,Poland,Norway,12
2009,Poland,Ukraine,10
2009,Poland,Romania,0
2009,Poland,United Kingdom,4
2009,Poland,Finland,0
2009,Poland,Spain,0
2009,Portugal,Lithuania,0
2009,Portugal,Israel,0
2009,Portugal,France,0
2009,Portugal,Sweden,0
2009,Portugal,Croatia,0
2009,Portugal,Iceland,8
2009,Portugal,Greece,0
2009,Portugal,Armenia,4
2009,Portugal,Russia,0
2009,Portugal,Azerbaijan,0
2009,Portugal,Bosnia-Herzegovina,0
2009,Portugal,Moldova,12
2009,Portugal,Malta,0
2009,Portugal,Estonia,0
2009,Portugal,Denmark,0
2009,Portugal,Germany,1
2009,Portugal,Turkey,3
2009,Portugal,Albania,0
2009,Portugal,Norway,5
2009,Portugal,Ukraine,6
2009,Portugal,Romania,2
2009,Portugal,United Kingdom,10
2009,Portugal,Finland,0
2009,Portugal,Spain,7
2009,Romania,Lithuania,0
2009,Romania,Israel,0
2009,Romania,France,0
2009,Romania,Sweden,0
2009,Romania,Croatia,0
2009,Romania,Portugal,0
2009,Romania,Iceland,10
2009,Romania,Greece,8
2009,Romania,Armenia,7
2009,Romania,Russia,0
2009,Romania,Azerbaijan,4
2009,Romania,Bosnia-Herzegovina,0
2009,Romania,Moldova,12
2009,Romania,Malta,3
2009,Romania,Estonia,1
2009,Romania,Denmark,2
2009,Romania,Germany,0
2009,Romania,Turkey,6
2009,Romania,Albania,0
2009,Romania,Norway,5
2009,Romania,Ukraine,0
2009,Romania,United Kingdom,0
2009,Romania,Finland,0
2009,Romania,Spain,0
2009,Russia,Lithuania,0
2009,Russia,Israel,0
2009,Russia,France,10
2009,Russia,Sweden,0
2009,Russia,Croatia,0
2009,Russia,Portugal,0
2009,Russia,Iceland,3
2009,Russia,Greece,4
2009,Russia,Armenia,5
2009,Russia,Azerbaijan,7
2009,Russia,Bosnia-Herzegovina,0
2009,Russia,Moldova,1
2009,Russia,Malta,0
2009,Russia,Estonia,8
2009,Russia,Denmark,0
2009,Russia,Germany,0
2009,Russia,Turkey,0
2009,Russia,Albania,0
2009,Russia,Norway,12
2009,Russia,Ukraine,2
2009,Russia,Romania,0
2009,Russia,United Kingdom,6
2009,Russia,Finland,0
2009,Russia,Spain,0
2009,Serbia,Lithuania,0
2009,Serbia,Israel,0
2009,Serbia,France,3
2009,Serbia,Sweden,0
2009,Serbia,Croatia,5
2009,Serbia,Portugal,0
2009,Serbia,Iceland,0
2009,Serbia,Greece,6
2009,Serbia,Armenia,0
2009,Serbia,Russia,0
2009,Serbia,Azerbaijan,4
2009,Serbia,Bosnia-Herzegovina,12
2009,Serbia,Moldova,0
2009,Serbia,Malta,7
2009,Serbia,Estonia,0
2009,Serbia,Denmark,1
2009,Serbia,Germany,0
2009,Serbia,Turkey,0
2009,Serbia,Albania,0
2009,Serbia,Norway,10
2009,Serbia,Ukraine,0
2009,Serbia,Romania,2
2009,Serbia,United Kingdom,8
2009,Serbia,Finland,0
2009,Serbia,Spain,0
2009,Slovakia,Lithuania,0
2009,Slovakia,Israel,5
2009,Slovakia,France,0
2009,Slovakia,Sweden,0
2009,Slovakia,Croatia,0
2009,Slovakia,Portugal,2
2009,Slovakia,Iceland,6
2009,Slovakia,Greece,0
2009,Slovakia,Armenia,3
2009,Slovakia,Russia,0
2009,Slovakia,Azerbaijan,4
2009,Slovakia,Bosnia-Herzegovina,8
2009,Slovakia,Moldova,0
2009,Slovakia,Malta,0
2009,Slovakia,Estonia,12
2009,Slovakia,Denmark,0
2009,Slovakia,Germany,0
2009,Slovakia,Turkey,0
2009,Slovakia,Albania,0
2009,Slovakia,Norway,10
2009,Slovakia,Ukraine,1
2009,Slovakia,Romania,0
2009,Slovakia,United Kingdom,7
2009,Slovakia,Finland,0
2009,Slovakia,Spain,0
2009,Slovenia,Lithuania,0
2009,Slovenia,Israel,0
2009,Slovenia,France,7
2009,Slovenia,Sweden,0
2009,Slovenia,Croatia,6
2009,Slovenia,Portugal,0
2009,Slovenia,Iceland,5
2009,Slovenia,Greece,4
2009,Slovenia,Armenia,0
2009,Slovenia,Russia,0
2009,Slovenia,Azerbaijan,1
2009,Slovenia,Bosnia-Herzegovina,10
2009,Slovenia,Moldova,0
2009,Slovenia,Malta,0
2009,Slovenia,Estonia,0
2009,Slovenia,Denmark,8
2009,Slovenia,Germany,0
2009,Slovenia,Turkey,0
2009,Slovenia,Albania,2
2009,Slovenia,Norway,12
2009,Slovenia,Ukraine,0
2009,Slovenia,Romania,0
2009,Slovenia,United Kingdom,3
2009,Slovenia,Finland,0
2009,Slovenia,Spain,0
2009,Spain,Lithuania,0
2009,Spain,Israel,0
2009,Spain,France,3
2009,Spain,Sweden,0
2009,Spain,Croatia,0
2009,Spain,Portugal,8
2009,Spain,Iceland,0
2009,Spain,Greece,1
2009,Spain,Armenia,4
2009,Spain,Russia,0
2009,Spain,Azerbaijan,0
2009,Spain,Bosnia-Herzegovina,0
2009,Spain,Moldova,5
2009,Spain,Malta,0
2009,Spain,Estonia,0
2009,Spain,Denmark,0
2009,Spain,Germany,0
2009,Spain,Turkey,2
2009,Spain,Albania,0
2009,Spain,Norway,12
2009,Spain,Ukraine,6
2009,Spain,Romania,7
2009,Spain,United Kingdom,10
2009,Spain,Finland,0
2009,Sweden,Lithuania,0
2009,Sweden,Israel,0
2009,Sweden,France,0
2009,Sweden,Croatia,0
2009,Sweden,Portugal,0
2009,Sweden,Iceland,10
2009,Sweden,Greece,2
2009,Sweden,Armenia,3
2009,Sweden,Russia,0
2009,Sweden,Azerbaijan,8
2009,Sweden,Bosnia-Herzegovina,5
2009,Sweden,Moldova,0
2009,Sweden,Malta,0
2009,Sweden,Estonia,7
2009,Sweden,Denmark,0
2009,Sweden,Germany,0
2009,Sweden,Turkey,6
2009,Sweden,Albania,1
2009,Sweden,Norway,12
2009,Sweden,Ukraine,0
2009,Sweden,Romania,0
2009,Sweden,United Kingdom,0
2009,Sweden,Finland,4
2009,Sweden,Spain,0
2009,Switzerland,Lithuania,0
2009,Switzerland,Israel,1
2009,Switzerland,France,7
2009,Switzerland,Sweden,0
2009,Switzerland,Croatia,0
2009,Switzerland,Portugal,10
2009,Switzerland,Iceland,5
2009,Switzerland,Greece,2
2009,Switzerland,Armenia,0
2009,Switzerland,Russia,0
2009,Switzerland,Azerbaijan,0
2009,Switzerland,Bosnia-Herzegovina,4
2009,Switzerland,Moldova,0
2009,Switzerland,Malta,0
2009,Switzerland,Estonia,0
2009,Switzerland,Denmark,0
2009,Switzerland,Germany,0
2009,Switzerland,Turkey,12
2009,Switzerland,Albania,6
2009,Switzerland,Norway,8
2009,Switzerland,Ukraine,0
2009,Switzerland,Romania,0
2009,Switzerland,United Kingdom,0
2009,Switzerland,Finland,0
2009,Switzerland,Spain,3
2009,Turkey,Lithuania,0
2009,Turkey,Israel,0
2009,Turkey,France,0
2009,Turkey,Sweden,0
2009,Turkey,Croatia,0
2009,Turkey,Portugal,0
2009,Turkey,Iceland,2
2009,Turkey,Greece,0
2009,Turkey,Armenia,6
2009,Turkey,Russia,4
2009,Turkey,Azerbaijan,12
2009,Turkey,Bosnia-Herzegovina,8
2009,Turkey,Moldova,7
2009,Turkey,Malta,0
2009,Turkey,Estonia,0
2009,Turkey,Denmark,0
2009,Turkey,Germany,1
2009,Turkey,Albania,10
2009,Turkey,Norway,3
2009,Turkey,Ukraine,0
2009,Turkey,Romania,5
2009,Turkey,United Kingdom,0
2009,Turkey,Finland,0
2009,Turkey,Spain,0
2009,Ukraine,Lithuania,0
2009,Ukraine,Israel,1
2009,Ukraine,France,3
2009,Ukraine,Sweden,0
2009,Ukraine,Croatia,0
2009,Ukraine,Portugal,0
2009,Ukraine,Iceland,0
2009,Ukraine,Greece,0
2009,Ukraine,Armenia,2
2009,Ukraine,Russia,8
2009,Ukraine,Azerbaijan,10
2009,Ukraine,Bosnia-Herzegovina,0
2009,Ukraine,Moldova,7
2009,Ukraine,Malta,0
2009,Ukraine,Estonia,4
2009,Ukraine,Denmark,5
2009,Ukraine,Germany,0
2009,Ukraine,Turkey,0
2009,Ukraine,Albania,0
2009,Ukraine,Norway,12
2009,Ukraine,Romania,0
2009,Ukraine,United Kingdom,6
2009,Ukraine,Finland,0
2009,Ukraine,Spain,0
2009,United Kingdom,Lithuania,4
2009,United Kingdom,Israel,0
2009,United Kingdom,France,1
2009,United Kingdom,Sweden,0
2009,United Kingdom,Croatia,0
2009,United Kingdom,Portugal,0
2009,United Kingdom,Iceland,8
2009,United Kingdom,Greece,5
2009,United Kingdom,Armenia,0
2009,United Kingdom,Russia,0
2009,United Kingdom,Azerbaijan,3
2009,United Kingdom,Bosnia-Herzegovina,0
2009,United Kingdom,Moldova,0
2009,United Kingdom,Malta,6
2009,United Kingdom,Estonia,0
2009,United Kingdom,Denmark,0
2009,United Kingdom,Germany,7
2009,United Kingdom,Turkey,12
2009,United Kingdom,Albania,0
2009,United Kingdom,Norway,10
2009,United Kingdom,Ukraine,2
2009,United Kingdom,Romania,0
2009,United Kingdom,Finland,0
2009,United Kingdom,Spain,0
2010,Azerbaijan,Spain,0
2010,Azerbaijan,Norway,0
2010,Azerbaijan,Moldova,6
2010,Azerbaijan,Cyprus,0
2010,Azerbaijan,Bosnia-Herzegovina,0
2010,Azerbaijan,Belgium,0
2010,Azerbaijan,Serbia,0
2010,Azerbaijan,Belarus,0
2010,Azerbaijan,Ireland,0
2010,Azerbaijan,Greece,0
2010,Azerbaijan,United Kingdom,2
2010,Azerbaijan,Georgia,8
2010,Azerbaijan,Turkey,12
2010,Azerbaijan,Albania,0
2010,Azerbaijan,Iceland,0
2010,Azerbaijan,Ukraine,10
2010,Azerbaijan,France,0
2010,Azerbaijan,Romania,7
2010,Azerbaijan,Russia,3
2010,Azerbaijan,Armenia,0
2010,Azerbaijan,Germany,1
2010,Azerbaijan,Portugal,0
2010,Azerbaijan,Israel,5
2010,Azerbaijan,Denmark,4
2010,Spain,Azerbaijan,7
2010,Spain,Norway,0
2010,Spain,Moldova,0
2010,Spain,Cyprus,0
2010,Spain,Bosnia-Herzegovina,0
2010,Spain,Belgium,0
2010,Spain,Serbia,0
2010,Spain,Belarus,0
2010,Spain,Ireland,0
2010,Spain,Greece,5
2010,Spain,United Kingdom,0
2010,Spain,Georgia,1
2010,Spain,Turkey,3
2010,Spain,Albania,0
2010,Spain,Iceland,0
2010,Spain,Ukraine,0
2010,Spain,France,2
2010,Spain,Romania,10
2010,Spain,Russia,0
2010,Spain,Armenia,8
2010,Spain,Germany,12
2010,Spain,Portugal,6
2010,Spain,Israel,0
2010,Spain,Denmark,4
2010,Norway,Azerbaijan,7
2010,Norway,Spain,0
2010,Norway,Moldova,0
2010,Norway,Cyprus,0
2010,Norway,Bosnia-Herzegovina,0
2010,Norway,Belgium,3
2010,Norway,Serbia,0
2010,Norway,Belarus,0
2010,Norway,Ireland,0
2010,Norway,Greece,0
2010,Norway,United Kingdom,0
2010,Norway,Georgia,1
2010,Norway,Turkey,2
2010,Norway,Albania,0
2010,Norway,Iceland,6
2010,Norway,Ukraine,0
2010,Norway,France,4
2010,Norway,Romania,10
2010,Norway,Russia,0
2010,Norway,Armenia,0
2010,Norway,Germany,12
2010,Norway,Portugal,0
2010,Norway,Israel,5
2010,Norway,Denmark,8
2010,Moldova,Azerbaijan,7
2010,Moldova,Spain,4
2010,Moldova,Norway,0
2010,Moldova,Cyprus,0
2010,Moldova,Bosnia-Herzegovina,0
2010,Moldova,Belgium,0
2010,Moldova,Serbia,0
2010,Moldova,Belarus,3
2010,Moldova,Ireland,0
2010,Moldova,Greece,2
2010,Moldova,United Kingdom,0
2010,Moldova,Georgia,5
2010,Moldova,Turkey,0
2010,Moldova,Albania,0
2010,Moldova,Iceland,0
2010,Moldova,Ukraine,8
2010,Moldova,France,0
2010,Moldova,Romania,12
2010,Moldova,Russia,10
2010,Moldova,Armenia,6
2010,Moldova,Germany,0
2010,Moldova,Portugal,0
2010,Moldova,Israel,1
2010,Moldova,Denmark,0
2010,Cyprus,Azerbaijan,10
2010,Cyprus,Spain,0
2010,Cyprus,Norway,0
2010,Cyprus,Moldova,0
2010,Cyprus,Bosnia-Herzegovina,0
2010,Cyprus,Belgium,0
2010,Cyprus,Serbia,1
2010,Cyprus,Belarus,0
2010,Cyprus,Ireland,0
2010,Cyprus,Greece,12
2010,Cyprus,United Kingdom,0
2010,Cyprus,Georgia,5
2010,Cyprus,Turkey,0
2010,Cyprus,Albania,0
2010,Cyprus,Iceland,0
2010,Cyprus,Ukraine,6
2010,Cyprus,France,3
2010,Cyprus,Romania,8
2010,Cyprus,Russia,0
2010,Cyprus,Armenia,7
2010,Cyprus,Germany,4
2010,Cyprus,Portugal,0
2010,Cyprus,Israel,2
2010,Cyprus,Denmark,0
2010,Bosnia-Herzegovina,Azerbaijan,7
2010,Bosnia-Herzegovina,Spain,0
2010,Bosnia-Herzegovina,Norway,0
2010,Bosnia-Herzegovina,Moldova,0
2010,Bosnia-Herzegovina,Cyprus,0
2010,Bosnia-Herzegovina,Belgium,0
2010,Bosnia-Herzegovina,Serbia,12
2010,Bosnia-Herzegovina,Belarus,0
2010,Bosnia-Herzegovina,Ireland,0
2010,Bosnia-Herzegovina,Greece,6
2010,Bosnia-Herzegovina,United Kingdom,0
2010,Bosnia-Herzegovina,Georgia,4
2010,Bosnia-Herzegovina,Turkey,10
2010,Bosnia-Herzegovina,Albania,5
2010,Bosnia-Herzegovina,Iceland,0
2010,Bosnia-Herzegovina,Ukraine,0
2010,Bosnia-Herzegovina,France,3
2010,Bosnia-Herzegovina,Romania,2
2010,Bosnia-Herzegovina,Russia,0
2010,Bosnia-Herzegovina,Armenia,0
2010,Bosnia-Herzegovina,Germany,8
2010,Bosnia-Herzegovina,Portugal,0
2010,Bosnia-Herzegovina,Israel,1
2010,Bosnia-Herzegovina,Denmark,0
2010,Belgium,Azerbaijan,5
2010,Belgium,Spain,1
2010,Belgium,Norway,0
2010,Belgium,Moldova,0
2010,Belgium,Cyprus,0
2010,Belgium,Bosnia-Herzegovina,0
2010,Belgium,Serbia,0
2010,Belgium,Belarus,0
2010,Belgium,Ireland,0
2010,Belgium,Greece,12
2010,Belgium,United Kingdom,0
2010,Belgium,Georgia,4
2010,Belgium,Turkey,6
2010,Belgium,Albania,3
2010,Belgium,Iceland,8
2010,Belgium,Ukraine,0
2010,Belgium,France,0
2010,Belgium,Romania,0
2010,Belgium,Russia,0
2010,Belgium,Armenia,7
2010,Belgium,Germany,10
2010,Belgium,Portugal,0
2010,Belgium,Israel,0
2010,Belgium,Denmark,2
2010,Serbia,Azerbaijan,0
2010,Serbia,Spain,0
2010,Serbia,Norway,0
2010,Serbia,Moldova,0
2010,Serbia,Cyprus,0
2010,Serbia,Bosnia-Herzegovina,12
2010,Serbia,Belgium,5
2010,Serbia,Belarus,0
2010,Serbia,Ireland,0
2010,Serbia,Greece,10
2010,Serbia,United Kingdom,0
2010,Serbia,Georgia,0
2010,Serbia,Turkey,3
2010,Serbia,Albania,0
2010,Serbia,Iceland,0
2010,Serbia,Ukraine,7
2010,Serbia,France,4
2010,Serbia,Romania,6
2010,Serbia,Russia,0
2010,Serbia,Armenia,1
2010,Serbia,Germany,8
2010,Serbia,Portugal,2
2010,Serbia,Israel,0
2010,Serbia,Denmark,0
2010,Belarus,Azerbaijan,6
2010,Belarus,Spain,0
2010,Belarus,Norway,0
2010,Belarus,Moldova,4
2010,Belarus,Cyprus,0
2010,Belarus,Bosnia-Herzegovina,0
2010,Belarus,Belgium,0
2010,Belarus,Serbia,0
2010,Belarus,Ireland,0
2010,Belarus,Greece,0
2010,Belarus,United Kingdom,0
2010,Belarus,Georgia,7
2010,Belarus,Turkey,3
2010,Belarus,Albania,0
2010,Belarus,Iceland,2
2010,Belarus,Ukraine,10
2010,Belarus,France,0
2010,Belarus,Romania,1
2010,Belarus,Russia,12
2010,Belarus,Armenia,5
2010,Belarus,Germany,0
2010,Belarus,Portugal,0
2010,Belarus,Israel,8
2010,Belarus,Denmark,0
2010,Ireland,Azerbaijan,3
2010,Ireland,Spain,0
2010,Ireland,Norway,2
2010,Ireland,Moldova,0
2010,Ireland,Cyprus,0
2010,Ireland,Bosnia-Herzegovina,0
2010,Ireland,Belgium,10
2010,Ireland,Serbia,0
2010,Ireland,Belarus,0
2010,Ireland,Greece,0
2010,Ireland,United Kingdom,4
2010,Ireland,Georgia,5
2010,Ireland,Turkey,1
2010,Ireland,Albania,0
2010,Ireland,Iceland,0
2010,Ireland,Ukraine,0
2010,Ireland,France,6
2010,Ireland,Romania,7
2010,Ireland,Russia,0
2010,Ireland,Armenia,0
2010,Ireland,Germany,8
2010,Ireland,Portugal,0
2010,Ireland,Israel,0
2010,Ireland,Denmark,12
2010,Greece,Azerbaijan,1
2010,Greece,Spain,0
2010,Greece,Norway,0
2010,Greece,Moldova,0
2010,Greece,Cyprus,12
2010,Greece,Bosnia-Herzegovina,0
2010,Greece,Belgium,6
2010,Greece,Serbia,0
2010,Greece,Belarus,0
2010,Greece,Ireland,0
2010,Greece,United Kingdom,0
2010,Greece,Georgia,5
2010,Greece,Turkey,0
2010,Greece,Albania,10
2010,Greece,Iceland,3
2010,Greece,Ukraine,0
2010,Greece,France,8
2010,Greece,Romania,4
2010,Greece,Russia,0
2010,Greece,Armenia,7
2010,Greece,Germany,2
2010,Greece,Portugal,0
2010,Greece,Israel,0
2010,Greece,Denmark,0
2010,United Kingdom,Azerbaijan,0
2010,United Kingdom,Spain,0
2010,United Kingdom,Norway,0
2010,United Kingdom,Moldova,0
2010,United Kingdom,Cyprus,0
2010,United Kingdom,Bosnia-Herzegovina,0
2010,United Kingdom,Belgium,0
2010,United Kingdom,Serbia,0
2010,United Kingdom,Belarus,0
2010,United Kingdom,Ireland,7
2010,United Kingdom,Greece,12
2010,United Kingdom,Georgia,0
2010,United Kingdom,Turkey,10
2010,United Kingdom,Albania,1
2010,United Kingdom,Iceland,0
2010,United Kingdom,Ukraine,5
2010,United Kingdom,France,2
2010,United Kingdom,Romania,8
2010,United Kingdom,Russia,0
2010,United Kingdom,Armenia,0
2010,United Kingdom,Germany,4
2010,United Kingdom,Portugal,0
2010,United Kingdom,Israel,3
2010,United Kingdom,Denmark,6
2010,Georgia,Azerbaijan,8
2010,Georgia,Spain,2
2010,Georgia,Norway,6
2010,Georgia,Moldova,1
2010,Georgia,Cyprus,0
2010,Georgia,Bosnia-Herzegovina,0
2010,Georgia,Belgium,0
2010,Georgia,Serbia,0
2010,Georgia,Belarus,12
2010,Georgia,Ireland,0
2010,Georgia,Greece,0
2010,Georgia,United Kingdom,3
2010,Georgia,Turkey,5
2010,Georgia,Albania,0
2010,Georgia,Iceland,0
2010,Georgia,Ukraine,7
2010,Georgia,France,0
2010,Georgia,Romania,0
2010,Georgia,Russia,0
2010,Georgia,Armenia,10
2010,Georgia,Germany,0
2010,Georgia,Portugal,0
2010,Georgia,Israel,4
2010,Georgia,Denmark,0
2010,Turkey,Azerbaijan,12
2010,Turkey,Spain,0
2010,Turkey,Norway,0
2010,Turkey,Moldova,0
2010,Turkey,Cyprus,0
2010,Turkey,Bosnia-Herzegovina,8
2010,Turkey,Belgium,0
2010,Turkey,Serbia,0
2010,Turkey,Belarus,0
2010,Turkey,Ireland,0
2010,Turkey,Greece,3
2010,Turkey,United Kingdom,0
2010,Turkey,Georgia,5
2010,Turkey,Albania,7
2010,Turkey,Iceland,0
2010,Turkey,Ukraine,1
2010,Turkey,France,0
2010,Turkey,Romania,2
2010,Turkey,Russia,4
2010,Turkey,Armenia,6
2010,Turkey,Germany,10
2010,Turkey,Portugal,0
2010,Turkey,Israel,0
2010,Turkey,Denmark,0
2010,Albania,Azerbaijan,0
2010,Albania,Spain,7
2010,Albania,Norway,0
2010,Albania,Moldova,0
2010,Albania,Cyprus,0
2010,Albania,Bosnia-Herzegovina,6
2010,Albania,Belgium,0
2010,Albania,Serbia,3
2010,Albania,Belarus,0
2010,Albania,Ireland,0
2010,Albania,Greece,12
2010,Albania,United Kingdom,1
2010,Albania,Georgia,0
2010,Albania,Turkey,8
2010,Albania,Iceland,0
2010,Albania,Ukraine,0
2010,Albania,France,0
2010,Albania,Romania,5
2010,Albania,Russia,0
2010,Albania,Armenia,0
2010,Albania,Germany,10
2010,Albania,Portugal,0
2010,Albania,Israel,4
2010,Albania,Denmark,2
2010,Iceland,Azerbaijan,4
2010,Iceland,Spain,0
2010,Iceland,Norway,0
2010,Iceland,Moldova,0
2010,Iceland,Cyprus,0
2010,Iceland,Bosnia-Herzegovina,0
2010,Iceland,Belgium,10
2010,Iceland,Serbia,0
2010,Iceland,Belarus,0
2010,Iceland,Ireland,0
2010,Iceland,Greece,8
2010,Iceland,United Kingdom,0
2010,Iceland,Georgia,2
2010,Iceland,Turkey,0
2010,Iceland,Albania,7
2010,Iceland,Ukraine,0
2010,Iceland,France,6
2010,Iceland,Romania,5
2010,Iceland,Russia,0
2010,Iceland,Armenia,0
2010,Iceland,Germany,3
2010,Iceland,Portugal,1
2010,Iceland,Israel,0
2010,Iceland,Denmark,12
2010,Ukraine,Azerbaijan,12
2010,Ukraine,Spain,4
2010,Ukraine,Norway,0
2010,Ukraine,Moldova,0
2010,Ukraine,Cyprus,0
2010,Ukraine,Bosnia-Herzegovina,0
2010,Ukraine,Belgium,1
2010,Ukraine,Serbia,0
2010,Ukraine,Belarus,0
2010,Ukraine,Ireland,0
2010,Ukraine,Greece,0
2010,Ukraine,United Kingdom,0
